sku;id_woocommerce;nom;categorie;a_fournir;prix;sur_devis
0201038700- 0201038580- 0201038990- 0201038810- 0201038150- 0201038940- 0201038950- 0201038970- 0201;;3m™ littmann® cardiology iv™(19);Équipement du domicile;photo;100.00;oui
0201038140- 0201038430- 0201038030- 0201038740- 0201038060- 0201038350- 0201038840- 0201038930- 0201;;3m™ littmann® cardiology iv™(19);Équipement du domicile;photo;100.00;oui
226610000;;ACCESSOIRE POUR OTOSCOPE À FIBRES OPTIQUES À LED JOLETI;Équipement du domicile;description;14.59;non
0319177001;;ACCESSOIRES POUR AED PLUS®;Équipement du domicile;description;89.09;non
0608007030;;ACCESSOIRES POUR SECA 336;Équipement du domicile;description;62.05;non
0226050000;;AMPOULE POUR E-SCOPE®;Centre de diagnostic & spéculums/Ampoules & piles;description;82.54;non
OPT-WC-41293;41293;Abacus 5;Automates Hématologie;photo;100.00;oui
OPT-WC-41298;41298;Abacus Junior 30;Automates Hématologie;photo;100.00;oui
0222064060- 0222065000;;Accessoire pour lampe stylo à led luxamed;Lampes de diagnostic;description;9.06;non
0215272000- 0215273000- 0215274000- 0215275000- 0215277000- 0215279000- 0215523000- 0215519000- 0215;;Accessoires & piéces détachées;Tensiomètre électroniques;photo;100.00;oui
0232086001;;Accessoires pour clinitek status®+;Équipement du domicile;description;100.00;oui
0307073000;;Accessoires pour doppler fœtal et vasculaire;Dopplers & ultrasons;description;100.00;oui
0232236000;;Accessoires pour edan dus60;Échographes;description;100.00;oui
0232042000;;Accessoires pour edan h100b;Oxymètres de pouls;description;100.00;oui
023224600;;Accessoires pour edan u50;Échographes;photo + description;100.00;oui
0215531000- 0215532000- 0215533000- 0215534000- 0215535000- 0215536000;;Accessoires pour mobi;Tensiomètre électroniques;description;100.00;oui
0220231001;;Accessoires pour welch allyn macroview™;Équipement du domicile;description;46.32;non
1040099101- 1040095081- 1040098081- 1040103081- 1040094071- 1040102061- 1040096061- 1040101091- 1040;;Aiguille bd eclipse;Aiguilles de sécurité & hypodermiques;photo;100.00;oui
1001220101-1001219051-1001211081-1001218081-1001210071- 1001209031- 1001208061-1001213061-1001204091;;Aiguille microlance ii;Aiguilles de sécurité & hypodermiques;photo;100.00;oui
022606600;;Ampoules heine;Équipement du domicile;photo + description;100.00;oui
0226048000- 0226049000;;Ampoules pour ri-scope® l;Équipement du domicile;description;27.20;non
OPT-WC-41640;41640;Analyseur de thrombelastographie TLT-101;Coagulation;photo;100.00;oui
OPT-WC-41635;41635;Analyseur optique de la coagulation;Coagulation;photo;100.00;oui
